epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,411.258,1.13985,1.02337,1.10748,0.71796,0.52397,0.55578,0.33882,1.46672,1.32538,1.31255,6.9264e-05,6.9264e-05,6.9264e-05
82,416.094,1.11724,0.98096,1.08739,0.79282,0.48226,0.55172,0.33163,1.47685,1.32529,1.31129,6.59673e-05,6.59673e-05,6.59673e-05
83,420.884,1.12515,0.95415,1.08627,0.77864,0.50369,0.55882,0.3391,1.48511,1.32488,1.31736,6.26706e-05,6.26706e-05,6.26706e-05
84,425.708,1.13476,0.97455,1.08669,0.76718,0.50559,0.56215,0.33639,1.47774,1.30303,1.31786,5.93739e-05,5.93739e-05,5.93739e-05
85,430.638,1.10866,0.93694,1.0781,0.78995,0.49983,0.55789,0.33221,1.48588,1.30759,1.31791,5.60772e-05,5.60772e-05,5.60772e-05
86,435.544,1.11953,0.97088,1.09134,0.75981,0.5115,0.55461,0.33358,1.47804,1.34053,1.31484,5.27805e-05,5.27805e-05,5.27805e-05
87,440.687,1.10753,0.94537,1.07874,0.74539,0.51372,0.5617,0.33703,1.48281,1.3126,1.31814,4.94838e-05,4.94838e-05,4.94838e-05
88,446.019,1.11058,0.94153,1.08907,0.74705,0.52171,0.56661,0.34295,1.48132,1.30969,1.32173,4.61871e-05,4.61871e-05,4.61871e-05
89,451.065,1.09388,0.92294,1.07447,0.79328,0.49268,0.55689,0.33506,1.48561,1.31996,1.32117,4.28904e-05,4.28904e-05,4.28904e-05
90,456.244,1.09726,0.93435,1.07212,0.79678,0.49456,0.55413,0.33555,1.48951,1.32448,1.32181,3.95937e-05,3.95937e-05,3.95937e-05
91,464.806,1.10366,0.92698,1.0929,0.77763,0.4915,0.54888,0.32714,1.50623,1.36111,1.33299,3.6297e-05,3.6297e-05,3.6297e-05
92,469.689,1.06687,0.8662,1.07189,0.77693,0.50029,0.55303,0.33091,1.48891,1.32931,1.32357,3.30003e-05,3.30003e-05,3.30003e-05
93,474.532,1.04685,0.84292,1.06442,0.78313,0.49914,0.55963,0.33689,1.48759,1.30204,1.32064,2.97036e-05,2.97036e-05,2.97036e-05
94,479.3,1.0494,0.84185,1.06375,0.75218,0.52656,0.56949,0.34023,1.48307,1.30225,1.31874,2.64069e-05,2.64069e-05,2.64069e-05
95,484.013,1.02005,0.81453,1.04978,0.79133,0.50391,0.56724,0.34092,1.48661,1.29464,1.32022,2.31102e-05,2.31102e-05,2.31102e-05
96,488.772,1.04189,0.83161,1.07703,0.78944,0.50373,0.56794,0.34003,1.48155,1.29394,1.31862,1.98135e-05,1.98135e-05,1.98135e-05
97,493.556,1.00982,0.80491,1.05133,0.80787,0.49579,0.56526,0.33929,1.4877,1.29033,1.32098,1.65168e-05,1.65168e-05,1.65168e-05
98,498.45,1.01726,0.80959,1.05024,0.81196,0.49117,0.56509,0.33902,1.48411,1.29619,1.32029,1.32201e-05,1.32201e-05,1.32201e-05
99,503.558,1.01815,0.80359,1.04452,0.82265,0.48292,0.56418,0.33749,1.48537,1.29356,1.31853,9.9234e-06,9.9234e-06,9.9234e-06
100,508.595,1.01993,0.8114,1.05318,0.80926,0.4946,0.5657,0.34029,1.48593,1.29596,1.31949,6.6267e-06,6.6267e-06,6.6267e-06
